,,,,,,,,,,,,,,
Date,Day of Week,BEER,Cheap Cig,CIGARETTES PACKS,DRINKS,FOOD STAMPS,GROCERY 2%,NewPort,NON GROCERY 7%,Non Tax,PallMall,TOBBACO,VAPES,WINE
01/22/2024,Monday,$387.73,$169.70,$297.98,$302.91,$0.00,$336.43,$188.88,$59.43,$7.50,$0.00,$242.71,$30.00,$8.59
01/23/2024,Tuesday,$423.37,$167.79,$232.64,$343.45,$0.00,$248.83,$250.81,$61.70,$37.24,$6.99,$224.16,$45.97,$15.16
01/24/2024,Wednesday,$397.88,$163.78,$207.22,$315.02,$0.00,$315.48,$188.88,$33.87,$41.86,$13.98,$291.44,$148.91,$28.17
01/25/2024,Thursday,$411.27,$333.37,$268.62,$297.04,$0.00,$273.88,$163.21,$109.72,$53.50,$0.00,$205.05,$62.92,$14.15
01/26/2024,Friday,$797.62,$257.07,$300.59,$406.69,$0.00,$368.28,$284.47,$115.00,$25.74,$0.00,$310.11,$159.19,$28.15
01/27/2024,Saturday,$618.52,$151.49,$381.44,$399.74,$1.19,$343.53,$170.50,$85.20,$18.50,$0.00,$234.19,$92.94,$42.35
01/28/2024,Sunday,$369.97,$136.91,$146.41,$285.21,$0.00,$240.93,$77.51,$59.66,$17.50,$0.00,$197.02,$103.96,$0.00
01/29/2024,Monday,$391.14,$279.79,$245.45,$317.62,$0.00,$223.55,$137.44,$73.92,$39.05,$13.98,$253.66,$63.97,$28.75
01/30/2024,Tuesday,$347.29,$196.29,$354.39,$353.80,$0.00,$340.53,$147.43,$76.64,$15.00,$6.99,$249.80,$90.92,$3.89
01/31/2024,Wednesday,$415.67,$306.84,$389.90,$359.93,$0.00,$291.20,$130.05,$85.70,$3.75,$6.99,$245.20,$86.93,$3.89
02/01/2024,Thursday,$535.26,$327.25,$148.23,$383.85,$0.00,$384.01,$172.50,$55.01,$18.07,$0.00,$264.96,$111.94,$0.00
02/02/2024,Friday,$670.76,$292.23,$350.45,$492.34,$1.19,$341.75,$189.38,$128.40,$29.83,$6.99,$223.44,$22.98,$45.35
02/03/2024,Saturday,$694.98,$262.46,$554.71,$473.27,$0.00,$422.82,$232.33,$98.98,$40.83,$6.99,$233.05,$96.93,$35.54
02/04/2024,Sunday,$589.40,$158.87,$300.92,$334.87,$0.00,$362.15,$153.22,$63.19,$15.25,$6.99,$240.21,$78.96,$23.98
02/05/2024,Monday,$409.80,$225.63,$192.18,$356.14,$0.00,$335.93,$172.50,$45.59,$32.75,$0.00,$203.77,$95.94,$19.45
02/06/2024,Tuesday,$390.27,$130.40,$210.41,$414.40,$0.00,$326.11,$198.97,$79.63,$2.75,$0.00,$181.02,$70.96,$15.56
02/07/2024,Wednesday,$488.42,$434.06,$395.79,$434.79,$0.00,$434.78,$214.35,$65.18,$55.31,$6.99,$245.95,$205.88,$18.14
02/08/2024,Thursday,$417.70,$219.20,$166.99,$356.96,$0.00,$364.62,$241.22,$72.84,$20.50,$0.00,$246.19,$124.89,$33.84
02/09/2024,Friday,$585.74,$237.10,$287.96,$450.92,$0.00,$377.09,$343.10,$109.56,$9.15,$0.00,$249.96,$145.86,$68.56
02/10/2024,Saturday,$634.57,$136.98,$372.07,$483.13,$0.00,$385.23,$104.28,$112.37,$12.00,$0.00,$273.92,$74.91,$23.34
02/11/2024,Sunday,$743.64,$194.13,$216.37,$378.15,$0.00,$447.80,$163.31,$49.59,$55.83,$0.00,$226.66,$112.94,$26.32
02/12/2024,Monday,$425.23,$286.03,$362.99,$276.91,$0.00,$302.79,$171.50,$93.48,$7.30,$0.00,$203.19,$20.99,$41.11
02/13/2024,Tuesday,$400.65,$258.93,$306.20,$316.57,$1.19,$257.20,$156.90,$65.52,$9.25,$0.00,$255.39,$62.97,$28.11
02/14/2024,Wednesday,$521.18,$243.81,$424.59,$373.43,$1.19,$386.41,$170.29,$58.28,$27.49,$6.99,$385.56,$143.92,$53.53
02/15/2024,Thursday,$460.10,$222.20,$296.83,$373.34,$0.00,$455.92,$122.75,$47.14,$20.50,$0.00,$257.24,$104.95,$16.94
02/16/2024,Friday,$705.61,$286.65,$521.39,$461.27,$1.19,$317.86,$174.89,$93.55,$14.24,$0.00,$277.24,$138.89,$35.73
02/17/2024,Saturday,$715.53,$306.10,$263.87,$526.60,$0.00,$387.70,$213.15,$152.46,$31.75,$0.00,$340.12,$322.82,$69.89
02/18/2024,Sunday,$494.00,$162.45,$307.64,$360.95,$0.00,$315.79,$172.90,$60.87,$21.50,$6.99,$182.65,$90.93,$87.03
02/19/2024,Monday,$366.67,$238.75,$251.34,$418.70,$0.00,$338.24,$171.70,$48.61,$45.49,$6.99,$223.21,$53.96,$12.88
02/20/2024,Tuesday,$406.26,$177.24,$332.55,$321.57,$0.00,$336.12,$155.22,$56.33,$4.25,$0.00,$196.36,$59.97,$20.35
02/21/2024,Wednesday,$486.24,$209.75,$379.45,$448.50,$0.00,$427.41,$160.21,$82.65,$91.83,$6.99,$293.06,$126.94,$34.51
02/22/2024,Thursday,$468.65,$354.00,$373.75,$579.58,$0.00,$418.71,$241.82,$85.32,$36.49,$6.99,$337.28,$143.91,$3.87
02/23/2024,Friday,$737.41,$272.51,$320.92,$434.91,$0.00,$471.53,$189.28,$146.89,$21.75,$0.00,$330.04,$270.34,$59.12
02/24/2024,Saturday,$618.38,$155.36,$342.24,$439.24,$0.00,$453.86,$163.91,$129.91,$20.50,$0.00,$349.90,$131.92,$19.04
02/25/2024,Sunday,$644.75,$289.80,$220.49,$323.07,$0.00,$314.48,$129.75,$80.34,$13.25,$6.99,$266.83,$174.91,$64.55
02/26/2024,Monday,$472.88,$281.73,$287.06,$460.87,$0.00,$370.76,$190.28,$39.40,$20.49,$0.00,$226.06,$147.91,$18.64
02/27/2024,Tuesday,$382.13,$189.15,$197.49,$294.27,$0.00,$223.64,$145.83,$23.80,$15.00,$6.99,$189.89,$86.96,$12.85
02/28/2024,Wednesday,$369.18,$243.47,$310.85,$244.64,$0.00,$272.12,$172.30,$31.29,$32.24,$0.00,$225.18,$59.98,$31.50
02/29/2024,Thursday,$591.02,$244.77,$335.17,$444.86,$0.00,$375.81,$318.83,$67.00,$35.50,$0.00,$333.38,$159.87,$27.86
03/01/2024,Friday,$496.00,$198.07,$178.08,$199.35,$0.00,$235.38,$77.61,$70.82,$0.00,$6.99,$151.58,$15.97,$56.63
03/02/2024,Saturday,$558.14,$252.56,$295.75,$458.26,$0.00,$517.80,$153.92,$112.95,$30.25,$27.96,$301.53,$166.84,$91.49
03/03/2024,Sunday,$417.44,$195.82,$181.98,$349.36,$0.00,$361.12,$222.74,$50.73,$41.14,$0.00,$236.18,$130.94,$26.82
03/04/2024,Monday,$523.47,$310.55,$354.24,$455.40,$1.19,$387.50,$214.65,$101.76,$61.74,$6.99,$315.06,$154.90,$81.21
03/05/2024,Tuesday,$450.53,$177.68,$245.35,$351.24,$1.19,$351.32,$154.82,$60.04,$10.75,$0.00,$213.92,$121.94,$52.42
03/06/2024,Wednesday,$432.87,$240.70,$239.74,$355.06,$0.00,$354.06,$162.61,$47.18,$26.00,$6.99,$289.36,$101.94,$17.68
03/07/2024,Thursday,$391.52,$319.65,$211.42,$526.40,$0.00,$455.97,$248.11,$80.00,$45.67,$6.99,$323.88,$38.67,$20.95
03/08/2024,Friday,$541.46,$285.83,$235.64,$397.06,$0.00,$311.02,$230.33,$83.31,$11.50,$6.99,$254.56,$64.97,$18.99
03/09/2024,Saturday,$585.04,$352.19,$348.62,$411.52,$0.00,$250.46,$179.79,$72.84,$2.50,$0.00,$288.06,$62.97,$24.24
03/10/2024,Sunday,$456.09,$204.72,$382.88,$307.52,$0.00,$316.13,$137.14,$65.34,$20.00,$6.99,$225.12,$102.95,$63.84
03/11/2024,Monday,$357.19,$270.94,$172.37,$349.94,$0.00,$485.40,$266.69,$65.25,$30.50,$0.00,$259.08,$33.98,$23.51
03/12/2024,Tuesday,$417.96,$173.79,$306.71,$360.03,$0.00,$371.93,$164.21,$108.88,$28.00,$0.00,$247.37,$64.97,$31.94
03/13/2024,Wednesday,$523.92,$284.11,$315.08,$543.00,$1.49,$501.70,$187.38,$64.67,$21.48,$6.99,$310.83,$120.95,$87.43
03/14/2024,Thursday,$519.69,$261.10,$435.91,$461.34,$0.00,$334.79,$267.29,$53.13,$5.25,$0.00,$274.34,$121.95,$10.87
03/15/2024,Friday,$569.50,$244.45,$352.28,$405.82,$0.00,$492.85,$247.81,$111.54,$8.50,$6.99,$254.42,$110.94,$29.59
03/16/2024,Saturday,$911.69,$271.55,$330.28,$455.74,$0.00,$429.51,$196.37,$117.02,$49.18,$0.00,$284.16,$61.66,$26.13
03/17/2024,Sunday,$400.68,$273.12,$347.10,$414.21,$0.00,$374.89,$259.40,$80.67,$18.50,$0.00,$251.35,$43.98,$26.63
03/18/2024,Monday,$335.25,$182.61,$321.81,$273.15,$0.00,$414.45,$221.14,$38.86,$6.25,$0.00,$223.84,$120.92,$33.31
03/19/2024,Tuesday,$356.30,$145.40,$211.97,$296.35,$0.00,$391.21,$189.28,$36.35,$20.25,$6.99,$185.56,$26.98,$53.08
03/20/2024,Wednesday,$511.12,$354.00,$393.41,$445.05,$0.00,$513.35,$249.21,$62.77,$23.75,$6.99,$357.14,$221.84,$84.21
03/21/2024,Thursday,$400.12,$239.03,$267.93,$416.44,$1.49,$316.08,$239.82,$93.67,$17.25,$0.00,$224.24,$156.89,$45.79
03/22/2024,Friday,$657.16,$200.92,$334.27,$392.75,$0.00,$412.99,$266.89,$43.90,$49.50,$0.00,$365.21,$106.90,$36.08
03/23/2024,Saturday,$586.84,$193.13,$354.48,$360.91,$0.00,$419.47,$207.36,$103.94,$30.25,$0.00,$279.25,$52.96,$44.52
03/24/2024,Sunday,$711.29,$168.78,$230.78,$327.51,$0.00,$402.58,$123.46,$52.80,$21.24,$6.99,$197.72,$51.97,$47.29
03/25/2024,Monday,$466.73,$239.80,$364.49,$364.40,$0.00,$342.71,$249.91,$43.19,$20.75,$20.97,$265.23,$17.99,$22.95
03/26/2024,Tuesday,$448.67,$202.26,$296.25,$226.73,$0.00,$293.99,$173.20,$31.87,$12.00,$6.99,$234.56,$71.63,$9.07
03/27/2024,Wednesday,$483.58,$298.98,$277.62,$333.37,$0.00,$395.56,$155.52,$110.75,$26.75,$0.00,$352.81,$184.90,$48.81
03/28/2024,Thursday,$470.09,$317.50,$276.50,$416.92,$0.00,$468.69,$309.64,$110.85,$33.25,$6.99,$291.30,$178.86,$51.84
03/29/2024,Friday,$782.69,$240.45,$372.37,$560.41,$0.00,$424.07,$188.98,$176.56,$22.00,$0.00,$293.46,$119.83,$3.89
03/30/2024,Saturday,$606.38,$200.67,$259.62,$525.48,$1.49,$362.71,$282.87,$86.72,$44.66,$13.98,$276.89,$99.92,$22.86
03/31/2024,Sunday,$654.80,$187.40,$257.55,$411.80,$1.49,$344.52,$171.60,$121.91,$13.50,$0.00,$208.74,$49.97,$46.02
04/01/2024,Monday,$518.12,$284.33,$366.68,$463.88,$0.00,$419.81,$172.00,$107.75,$16.25,$0.00,$266.31,$142.92,$49.73
04/02/2024,Tuesday,$466.61,$244.39,$192.18,$378.33,$0.00,$361.79,$128.85,$65.27,$35.54,$0.00,$225.91,$28.97,$50.90
04/03/2024,Wednesday,$496.36,$231.39,$191.78,$358.82,$0.00,$363.20,$242.22,$74.16,$45.75,$13.98,$222.71,$186.91,$34.87
04/04/2024,Thursday,$371.52,$273.86,$181.20,$324.37,$0.00,$394.99,$249.01,$61.34,$10.50,$20.97,$283.42,$120.93,$15.15
04/05/2024,Friday,$613.35,$235.24,$250.48,$383.45,$0.00,$446.35,$248.21,$127.86,$6.00,$0.00,$284.37,$164.84,$42.03
04/06/2024,Saturday,$685.22,$190.66,$358.67,$304.92,$0.00,$430.21,$164.51,$74.08,$19.75,$6.99,$261.43,$90.93,$33.24
04/07/2024,Sunday,$493.33,$123.77,$281.01,$384.17,$0.00,$336.58,$171.90,$46.04,$33.50,$0.00,$212.51,$85.95,$57.32
04/08/2024,Monday,$433.52,$279.79,$366.91,$487.45,$0.00,$417.47,$205.26,$21.94,$36.58,$6.99,$274.29,$121.94,$47.73
04/09/2024,Tuesday,$381.86,$278.90,$201.54,$337.49,$0.00,$378.70,$154.52,$18.33,$24.75,$6.99,$234.02,$68.96,$6.37
04/10/2024,Wednesday,$500.88,$271.19,$353.61,$386.42,$0.00,$363.90,$205.66,$93.28,$18.75,$6.99,$231.04,$91.95,$14.23
04/11/2024,Thursday,$448.51,$260.35,$478.23,$418.11,$0.00,$445.85,$221.94,$78.71,$10.00,$0.00,$279.24,$173.93,$81.38
04/12/2024,Friday,$682.44,$271.03,$261.77,$430.20,$0.00,$413.67,$213.65,$82.69,$14.25,$6.99,$286.15,$145.91,$83.97
04/13/2024,Saturday,$754.71,$317.45,$248.26,$422.50,$0.00,$403.86,$205.76,$199.87,$21.75,$6.99,$313.34,$122.96,$27.75
04/14/2024,Sunday,$710.03,$163.89,$270.17,$300.32,$1.49,$414.81,$180.19,$49.37,$38.00,$0.00,$337.92,$77.98,$37.62
04/15/2024,Monday,$619.14,$222.73,$197.60,$543.35,$0.00,$525.34,$187.88,$55.45,$4.90,$6.99,$359.02,$24.98,$32.23
04/16/2024,Tuesday,$411.21,$287.59,$333.72,$375.94,$0.00,$411.24,$219.34,$57.76,$9.33,$0.00,$307.71,$45.98,$55.68
04/17/2024,Wednesday,$504.88,$273.58,$348.06,$310.33,$0.00,$315.57,$125.25,$65.72,$54.75,$20.97,$209.00,$78.96,$30.78
04/18/2024,Thursday,$506.85,$243.28,$354.24,$503.79,$0.00,$548.12,$155.12,$93.10,$27.59,$0.00,$280.31,$76.94,$16.17
04/19/2024,Friday,$786.23,$333.19,$416.17,$432.63,$0.00,$435.54,$179.39,$66.21,$28.75,$6.99,$336.33,$113.94,$41.89
04/20/2024,Saturday,$733.92,$210.66,$437.62,$418.16,$0.00,$494.01,$181.18,$110.28,$14.75,$6.99,$312.46,$163.89,$44.15
04/21/2024,Sunday,$349.50,$138.18,$100.98,$287.05,$0.00,$282.73,$142.43,$30.92,$33.00,$6.99,$225.65,$114.95,$43.97
04/22/2024,Monday,$435.77,$301.86,$261.73,$391.02,$0.00,$525.37,$211.05,$48.55,$9.75,$0.00,$352.53,$136.93,$74.58
04/23/2024,Tuesday,$348.83,$312.95,$357.14,$334.04,$0.00,$306.91,$207.15,$53.57,$6.75,$6.99,$266.23,$36.97,$18.47
04/24/2024,Wednesday,$505.89,$277.61,$300.17,$333.28,$1.49,$472.97,$163.61,$65.55,$17.75,$0.00,$333.24,$94.93,$44.27
04/25/2024,Thursday,$632.96,$273.91,$379.17,$400.85,$0.00,$492.23,$292.16,$114.57,$27.50,$6.99,$290.78,$47.97,$11.67
04/26/2024,Friday,$586.29,$178.72,$396.04,$343.12,$0.00,$411.88,$273.58,$59.71,$21.72,$6.99,$326.13,$179.87,$44.08
04/27/2024,Saturday,$801.48,$347.82,$513.80,$506.43,$7.45,$509.07,$195.87,$134.57,$15.00,$0.00,$367.78,$97.95,$40.24
04/28/2024,Sunday,$460.96,$206.07,$247.81,$292.86,$0.00,$367.88,$188.58,$62.99,$16.00,$0.00,$181.44,$97.92,$40.40
04/29/2024,Monday,$344.74,$216.34,$302.18,$297.61,$0.00,$328.41,$119.16,$61.25,$5.75,$0.00,$165.13,$42.95,$23.13
04/30/2024,Tuesday,$521.04,$429.83,$284.95,$423.94,$0.00,$456.45,$216.65,$64.53,$29.75,$0.00,$332.97,$98.94,$46.80
05/01/2024,Wednesday,$648.25,$380.03,$317.65,$427.05,$0.00,$389.00,$239.32,$71.32,$10.00,$6.99,$263.89,$129.90,$26.73
05/02/2024,Thursday,$457.50,$217.36,$240.40,$420.16,$0.00,$425.00,$167.50,$97.38,$18.20,$6.99,$249.76,$115.96,$19.44
05/03/2024,Friday,$726.36,$302.40,$428.04,$502.79,$0.00,$442.52,$237.80,$99.71,$55.00,$0.00,$291.77,$67.97,$94.46
05/04/2024,Saturday,$546.79,$184.30,$318.76,$337.25,$0.00,$345.43,$185.87,$83.91,$8.00,$6.99,$330.18,$29.99,$20.95
05/05/2024,Sunday,$525.26,$217.06,$266.44,$258.22,$0.00,$359.90,$161.80,$108.71,$17.25,$0.00,$243.84,$73.65,$3.89
05/06/2024,Monday,$343.55,$232.39,$325.10,$345.99,$0.00,$418.65,$162.61,$39.17,$6.75,$0.00,$267.46,$48.95,$62.77
05/07/2024,Tuesday,$633.29,$264.53,$333.84,$414.26,$0.00,$555.41,$237.52,$31.88,$29.70,$6.99,$288.12,$166.91,$17.06
05/08/2024,Wednesday,$321.28,$217.34,$246.22,$256.18,$1.49,$329.74,$120.16,$41.64,$11.71,$6.99,$201.42,$135.44,$25.95
05/09/2024,Thursday,$641.16,$371.42,$507.91,$449.03,$0.00,$564.29,$360.38,$100.04,$61.50,$0.00,$312.94,$110.94,$22.83
05/10/2024,Friday,$567.87,$297.41,$332.83,$451.49,$1.49,$511.06,$204.46,$80.23,$71.84,$0.00,$392.19,$147.92,$16.05
05/11/2024,Saturday,$655.75,$295.39,$307.52,$389.45,$0.00,$406.80,$222.34,$127.36,$8.00,$0.00,$412.13,$119.95,$26.45
05/12/2024,Sunday,$612.19,$314.60,$305.89,$442.03,$0.00,$369.73,$230.33,$130.76,$31.00,$0.00,$224.88,$134.63,$85.36
05/13/2024,Monday,$304.68,$259.37,$239.61,$385.68,$0.00,$343.43,$207.66,$99.90,$17.75,$0.00,$226.43,$98.69,$17.87
05/14/2024,Tuesday,$397.98,$205.11,$239.45,$282.08,$1.49,$506.91,$197.28,$144.30,$12.00,$6.99,$375.44,$83.96,$17.13
05/15/2024,Wednesday,$428.02,$187.02,$385.07,$377.17,$1.49,$430.57,$249.72,$80.55,$7.50,$0.00,$237.57,$54.95,$2.48
05/16/2024,Thursday,$473.90,$261.12,$246.07,$500.21,$1.49,$500.56,$152.33,$141.13,$25.00,$0.00,$272.73,$122.94,$5.16
05/17/2024,Friday,$594.16,$292.01,$319.02,$484.52,$0.00,$490.57,$232.24,$101.04,$16.25,$0.00,$359.20,$53.97,$12.28
05/18/2024,Saturday,$720.40,$297.30,$440.88,$477.21,$0.00,$432.79,$277.29,$105.57,$52.25,$0.00,$340.25,$64.92,$17.77
05/19/2024,Sunday,$518.94,$225.59,$292.75,$365.50,$1.49,$441.32,$187.99,$128.49,$12.00,$0.00,$213.45,$31.96,$74.82
05/20/2024,Monday,$431.32,$164.80,$234.07,$347.00,$0.00,$334.58,$214.26,$35.75,$17.26,$0.00,$258.47,$115.91,$18.35
05/21/2024,Tuesday,$467.04,$330.84,$359.00,$459.42,$1.49,$438.45,$206.17,$99.85,$22.74,$0.00,$226.74,$13.99,$39.99
05/22/2024,Wednesday,$587.56,$232.35,$237.69,$414.20,$1.49,$365.37,$259.11,$91.02,$28.50,$0.00,$285.69,$165.65,$24.28
05/23/2024,Thursday,$506.82,$232.98,$382.76,$437.88,$0.00,$442.71,$214.66,$112.01,$5.50,$0.00,$332.11,$165.44,$35.97
05/24/2024,Friday,$597.47,$250.79,$596.12,$414.13,$0.00,$411.80,$268.20,$106.82,$43.50,$6.99,$274.20,$108.98,$70.79
05/25/2024,Saturday,$625.20,$302.41,$456.58,$411.08,$0.00,$466.70,$330.33,$127.31,$23.85,$0.00,$360.27,$108.68,$38.97
05/26/2024,Sunday,$553.17,$405.58,$221.67,$381.48,$0.00,$274.44,$169.81,$84.22,$30.75,$0.00,$343.89,$94.15,$69.82
05/27/2024,Monday,$507.50,$170.45,$354.08,$285.23,$0.00,$324.10,$259.91,$45.41,$13.50,$0.00,$295.82,$45.96,$52.53
05/28/2024,Tuesday,$503.03,$244.50,$314.01,$384.15,$0.00,$328.69,$161.02,$51.03,$17.25,$0.00,$285.37,$93.92,$78.90
05/29/2024,Wednesday,$425.05,$236.46,$264.20,$416.29,$0.00,$376.00,$205.77,$51.13,$14.25,$0.00,$299.50,$73.96,$39.54
05/30/2024,Thursday,$518.05,$338.89,$175.67,$311.95,$0.00,$468.33,$250.12,$76.25,$11.00,$6.99,$250.86,$223.91,$32.98
05/31/2024,Friday,$770.60,$438.06,$388.19,$460.30,$0.00,$433.30,$232.44,$196.53,$6.50,$69.90,$368.95,$35.97,$33.56
06/01/2024,Saturday,$541.93,$248.28,$366.12,$355.18,$0.00,$461.21,$178.00,$101.74,$15.25,$0.00,$342.77,$65.97,$56.43
06/02/2024,Sunday,$437.70,$164.62,$307.35,$305.87,$0.00,$294.97,$161.02,$47.99,$16.75,$0.00,$275.83,$131.92,$16.88
06/03/2024,Monday,$428.37,$220.89,$327.39,$334.89,$0.00,$457.12,$337.72,$88.10,$18.00,$0.00,$352.95,$71.98,$37.54
06/04/2024,Tuesday,$376.41,$316.95,$286.81,$389.22,$1.49,$403.21,$134.65,$54.66,$0.00,$0.00,$272.23,$11.99,$22.66
06/05/2024,Wednesday,$443.46,$329.67,$264.50,$428.44,$0.00,$452.54,$134.35,$61.40,$4.75,$0.00,$344.71,$94.94,$1.29
06/06/2024,Thursday,$487.46,$236.73,$215.21,$347.05,$0.00,$383.04,$241.33,$74.03,$8.00,$0.00,$264.97,$175.36,$32.05
06/07/2024,Friday,$746.95,$273.33,$378.02,$551.83,$0.00,$597.02,$232.54,$101.94,$16.75,$6.99,$317.78,$125.65,$45.61
06/08/2024,Saturday,$630.88,$244.18,$364.99,$437.15,$0.00,$511.72,$233.13,$154.66,$29.00,$0.00,$408.27,$191.08,$102.29
06/09/2024,Sunday,$564.11,$158.86,$215.43,$275.10,$0.00,$291.57,$159.72,$124.07,$15.00,$0.00,$297.47,$71.96,$64.73
06/10/2024,Monday,$522.72,$263.84,$308.68,$416.62,$0.00,$385.68,$240.53,$70.85,$3.00,$0.00,$295.39,$142.00,$26.76
06/11/2024,Tuesday,$412.74,$273.65,$319.87,$472.02,$2.98,$429.01,$232.54,$72.31,$10.50,$0.00,$312.45,$127.93,$20.72
06/12/2024,Wednesday,$540.13,$375.21,$236.60,$349.18,$0.00,$418.86,$372.38,$44.51,$6.00,$69.90,$293.74,$93.93,$61.07
06/13/2024,Thursday,$574.20,$363.33,$271.39,$394.15,$0.00,$401.50,$245.22,$83.31,$13.78,$0.00,$324.98,$113.90,$42.58
06/14/2024,Friday,$749.93,$214.98,$329.12,$506.24,$0.00,$455.28,$250.42,$64.13,$10.25,$0.00,$372.32,$212.35,$124.86
06/15/2024,Saturday,$500.17,$193.07,$227.34,$567.31,$1.49,$511.60,$277.79,$106.76,$14.25,$13.98,$345.63,$196.86,$133.03
06/16/2024,Sunday,$584.23,$254.10,$303.52,$332.86,$0.00,$312.97,$241.53,$73.08,$21.31,$69.90,$214.24,$55.44,$130.25
